bibid,description,score,score_cat
(OCoLC)ocm00101579,"Describes the process of sexual maturation in the adolescent, defines intercourse, and includes definitions of vulgar or slang terms used in reference to sex and sexual organs.",0.73655325,.5-.7499
(CKB)3790000000024138," Titres des saynètes : Ancien Pierrot, La veille du mariage, Tizianello, Une mauvaise étoile, Un double aveu, Le voyage à trois-étoiles, Le roman d'une pupille, Le bilboquet, Billet de faire part, La lettre du fusilier Bridet, Hippolyte ou les quatre fiancées, La perle, La bonne, Sous bois, Ouf !, Tue-toi le premier ! ",0.7358243,.5-.7499
(OCoLC)ocm61251206,"Wilhelmina is a Chinese-American lesbian and a young surgeon who has kept her sexual orientation secret from her conservative Chinese community in New York. But when her widowed mother becomes pregnant and is kicked out by her own parents, Wil suddenly has to juggle her mother's secrets with her own.",0.73534673,.5-.7499
(OCoLC)1107328866,"Stefan travels to China, finding out how the rapid pace of modernization is changing the way people eat. He spends a day working at the Kung Fu fast food joint and samples the menu of a Beijing penis restaurant. He also attempts to shake off his Communist Party minders to talk to one of China's poverty-stricken farmers.",0.7340509,.5-.7499
(OCoLC)ocm34958707,"A famous country music star is shamed by her sister into going home to look after her bedridden mother. The town is dull, her mother gets on her nerves and the ""dork"" who had a crush on her in high school is once again after her. But with time she gets used to it, even falls in love with the dork. By the author of That Camden Summer.",0.73360413,.5-.7499
(OCoLC)ocm37300796,"Two Texas Rangers fight Indians and bandits while trying to sort affairs with their women. One is Gus McCrae, a hard-drinking womanizer jilted by his love, the other is sober Woodrow Call, father of a boy by a prostitute. By the author of Lonesome Dove.",0.7333987,.5-.7499
(OCoLC)ocm43676715,"Philip Marlowe is hired by millionaire Gen. Sternwood to learn who is blackmailing his young, loose daughter, Carmen, with pornographic pictures.   Hard-boiled private eye Marlowe has his hands full when he gets involved in a  web of sex, blackmail and murder.",0.7330291,.5-.7499
(OCoLC)ocm44707513,"""Emotions flare as a jealous Army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife""--Container.",0.73258513,.5-.7499
(OCoLC)ocm30460677,"Archibaldo's criminal life began on the eve of the Mexican Revolution when he wished his nanny dead. A bullet blasted through the window and killed her. Thus begins his life of murder, alleged murder and insanity.",0.7324175,.5-.7499
(OCoLC)ocn318877213,"Mama Nadi, the owner of a brothel set in Congo, is a mother figure who keeps watch over her business, serving men from both sides of the conflict, and employing women, ""ruined"" by rape or torture, who are forced to work as prostitutes.",0.73031443,.5-.7499
(OCoLC)1129535774,"A World War II satire that follows a lonely German boy named Jojo whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",0.7295946,.5-.7499
(OCoLC)ocm28851151,"When Wendell doesn't clean up his room, a whole herd of pigs comes to live with him.",0.7290095,.5-.7499
(VaAlASP)3153276,"Letter from the Stonewall Gay Democratic Club to Morris Kight, with a legislative alert.",0.72897166,.5-.7499
(OCoLC)ocm45586701,"Jody Drew is a sweet, sexy, psycho-babe on the run from the law.  She's escaped from a dentention center, stabbed a guard and burned the place to the ground.  David Patton doesn't know this.  He's just a senatorial candidate trying to do all the right things.  But Jody makes sure that all the wrong things happen.  She twists David's life into a knot, first threatening him with a rape charge, then kidnaps him for a Mexican joy ride.",0.7277434,.5-.7499
(OCoLC)ocm52210405,"Three middle-aged men disenchanted with their lives, try to relive their youth by moving into a house on a college campus and start hanging out with a group of misfit college students, losers, and retirees.",0.72746444,.5-.7499
(VaAlASP)3152809,Flyer for the Lesbian & Gay Caucus hospitality suite and party event.,0.72616404,.5-.7499
(CKB)1000000000366100,"You're no idiot, of course. You know that knowledge is power. However, teamwork is the key in today's new corporate economy, and keeping things to yourself won't benefit you or your company. But you don't have to reinvent the wheel! 'The Complete Idiot's Guide to Knowledge Management' will show you exactly how to share information among your peers to help your company achieve greater success! In this 'Complete Idiot's Guide', you get: -Basic knowledge management models and concepts. -Step-by-step instructions on  implementing the concept within your company and group. -Strategies for knowledge sharing. -The fundamentals of trying a pilot program. -How information technology relates to knowledge management. -The importance of culture in the program.",0.7249639,.5-.7499
(OCoLC)ocm76837141,"A weak-willed Italian man becomes a fascist flunky who goes to Paris to arrange the assassination of his old teacher, now a political dissident.",0.7237571,.5-.7499
(CKB)4920000000457222,"Idiot's Guides: Calculus II , like its counterpart Idiot's Guides: Calculus I, is a curriculum-based companion book that continues the tradition of taking the sting out of calculus by adding more explanatory graphs and illustrations in easy-to-understand language, practice problems, and even a test at the end. Idiot's Guides: Calculus II is geared for all students who need to succeed in calculus.",0.72110337,.5-.7499
(VaAlASP)3171343,"Four pages each contain a single panel of a cartoon, in which a man buys a ''complicated'' balloon from a street vendor; strenuously blows it up; and discovers himself holding a male figure with the penis as the air valve. On the last page is the address of Bob's Bargain Books of New York City.",0.72046226,.5-.7499
(OCoLC)ocm37304392,Two angst-filled teen lovers pick up a dangerous drifter.  The three then go on a murder and sex filled spree.,0.7203249,.5-.7499
(OCoLC)993261001,"Sid & Nancy chronicles the brief, intense attachment of two of Punk's most notorious poster children, Sex Pistols bassist Sid Vicious and his girlfriend, Nancy Spungen.",0.72027206,.5-.7499
(OCoLC)1102179469,"""A queer American teacher describes a series of intimate encounters with lovers, friends, and students in and around Sofia, Bulgaria""--",0.71999013,.5-.7499
(CKB)3230000000001971,"Oddball sexuality, acts of perversion, and out-of-order behavior from the acclaimed Jamaican author of The Lunatic and Dog War.",0.71957546,.5-.7499
(YBPDDA)ebc5522629,"""The environment can be polluted, as can public discourse. I'm Right and You're an Idiot examines the state of today's public square, showing how polarized conversations discourage people from taking action on issues such as climate change, and demonstrating how we can clear the air and become more powerful and effective communicators.""--",0.71914655,.5-.7499
(VaAlASP)3262478,"A black-and-white engraving depicting a street scene in front of the Asylum for the Deaf and Dumb, London.",0.7180269,.5-.7499
(OCoLC)ocm53116266,"Two women: ""Seeking shelter in an abandoned church, Cesira (Loren) and her thirteen-year-old daughter, Rosetta (Brown) are brutally attacked and raped by Allied Moroccan soldiers during WWII.""--Container.",0.71741986,.5-.7499
(OCoLC)ocm36126454,"Lawyers often refer to them as ""prostitutes"" or ""whores."" They are the growing ranks of clinical psychiatrists, psychologists, social workers, and other mental health professionals who give expert testimony in our courtrooms today. And in far too many cases their testimony - on subjects as varied as determination of competency, dangerousness, parental fitness, custody, personal injury, memory, sentencing, and rehabilitation - helps determine the final verdict. Now, in.",0.71565384,.5-.7499
(OCoLC)1100762339,You're not the only one looking forward to the last days of summer. A bite from this parasite could leave you with facial paralysis.,0.7132103,.5-.7499
(VaAlASP)3175150,"A typewritten flyer, printed on pink paper, contains statistics on domestic violence and rape, presented by a lesbian arm of the Gay Teachers and School Workers Coalition.",0.7130405,.5-.7499
(OCoLC)ocm40508634,"An old woman is granted three wishes, but then she and her husband wish for foolish things.",0.71139145,.5-.7499
(OCoLC)971598805,"Pussy is the story of Prince Fracassus, heir presumptive to the Duchy of Origen, famed for its golden-gated skyscrapers and casinos, who passes his boyhood watching reality shows on TV, imagining himself to be the Roman Emperor Nero, and fantasizing about hookers. He is idle, boastful, thin-skinned and egotistic; has no manners, no curiosity, no knowledge, no idea and no words in which to express them. Could he, in that case, be the very leader to make the country great again?",0.7106796,.5-.7499
(OCoLC)1035616279,A black soldier is mortally wounded in Vietnam and transformed by a mad scientist into a rampaging monster.,0.709385,.5-.7499
(CKB)2550000000041773,"Shut Up, Stop Whining, and Get a Life was immediately hailed as """"not your average self-help book"""" and demanded attention and praise right out of the gate. It is now considered one of the icons of the personal development movement. Now, Larry Winget is back with his signature caustic, no-nonsense, hilarious style, which earned him the titles """"Pitbull of Personal Development?"""" and """"World's Only Irritational Speaker?."""" Winget's """"get off your butt and go to work"""" approach to self-improvement boils success down to a simple formula: Everything in your life gets better when you get bet",0.7084109,.5-.7499
(OCoLC)ocm35714721,"A collection of tales on sexual adventures. In The Wrong Thing, on being rejected by the man she wants to sleep with, the protagonist has an affair with a lesbian, in The Dentist, a woman writer tries to seduce her dentist, and The Blanket is on an affair of a woman with a younger man.",0.7074453,.5-.7499
(OCoLC)1110590052,"Young man shows his millionaire grandfather a film based on Molière's Tartuffe, in order to expose the old man's hypocritical governess who covets his own inheritance.",0.7071313,.5-.7499
(OCoLC)1078557700,A U.S. Nuclear Reform Proposal implementation interview with Defense Secretary Dick Cheney.,0.7056689,.5-.7499
(VaAlASP)3199188,Statistics sheet on mental incapacity in London; specifically regarding the 'deaf and dumb' population.,0.70566404,.5-.7499
(YBPDDA)ebc6376470,"Those They Called Idiots traces the little-known lives of people with learning disabilities from the communities of eighteenth-century England to the nineteenth-century asylum, to care in today's society. Using evidence from civil and criminal courtrooms, joke books, slang dictionaries, novels, art, and caricature, it explores the explosive intermingling of ideas about intelligence and race, while bringing into sharp focus the lives of people often seen as the most marginalized in society.",0.7040556,.5-.7499
(VaAlASP)3228973,"An undated holiday card from Harold L. Call shows a line drawing of two embracing, nude men on the front, with the inside inscription, ''Have a gay holiday.''",0.7037924,.5-.7499
(OCoLC)ocm50013282,"Fifteen-year-old Howie loses just about everything and everyone in the space of a single week, but ends up finding himself in the process. His mother has just died. His father, a corrupt building contractor, can barely keep tabs on his young girlfriend, let alone his own son. Thusly, the teen must navigate his adolescence virtually unsupervised. Floating towards an ill-behaved existence, Howie and his crowd begin robbing houses in the middle-class neighborhoods off the Long Island Expressway. Together, he and his best friend Gary break into a place belonging to an old guy named Big John, a local man who is a respected pillar of the community. When Big John fingers Gary for the crime, Howie learns that his pal has been leading the secret, dangerous life of a gay hustler. Subsequently, we also discover that Big John is a pedophile.",0.70352185,.5-.7499
(CKB)3790000000017068,This is about pornography.<br>  This is an interview. This is an intervention.<br>  This is an interrogation.<br>  We're recording now.<br>  We want to pull its plug out. We want to stop its heartbeat.<br>  We want to blow its brains out and begin again.<br>  We know exactly what we're doing.<br>  We're not stupid.<br>,0.70342374,.5-.7499
(CKB)5280000000190814,"Louis Theroux explores the world of sex trafficking in Houston, Texas through interviews with social workers, practicing and recovering sex workers, and their pimps.",0.7032925,.5-.7499
(OCoLC)316802078,"The story of Otto, a neo-Goth zombie with an identity crisis, and the gay zombie revolt against consumerist society.",0.70323914,.5-.7499
(VaAlASP)3207958,"In this second edition book entitled, The Idiot: His Place In Creation and His Claims on Society, Sir Frederic Bateman uses his work as a Consulting Physician at the Eastern Counties' Asylum for Idiots to discuss and analyze the role or place in modern society of mentally ill or disabled individuals.",0.7029267,.5-.7499
(VaAlASP)3261918,"A black-and-white engraving showing the audience attending the ceremony under a tent for the laying the first stone of the Asylum for Idiots at Earlswood, near Reigate, England, from The Illustrated London News for June 25, 1853.",0.70215124,.5-.7499
(VaAlASP)3261758,"Black and white engraving image of men voting for the National Assembly in the theatre of the 'deaf and dumb asylum' of Paris, France.",0.7020601,.5-.7499
(OCoLC)ocn750445391,"""Reality porn is coming out of the closet in this first-ever gonzo queer film. Award-winning director Courtney Trouble invites seven diverse, fresh-faced performers to a kinky slumber party for fun and games...only tonight there are no rules, no limits and no bedtime! The amateur cast picks their own partners, their own sex toys, and their own ways of getggin off. Spin the Bottle inspires an unscripted fuck-fest and first-time fantasies come true during a Truth or Dare strap-on sex scene. Whith honest video confessions, 9 sex scenes, authentic orgasms and natural bodies, Seven Minutes in Heaven is the real queer deal.""--container.",0.70154965,.5-.7499
(OCoLC)ocm38032163,An uncensored version of the story of a repressed widow who visits her sister in New Orleans and is raped and driven mad by her brother-in-law.,0.7009363,.5-.7499
(OCoLC)ocn163573721,"""Playing incompetent nitwits, Ole and Chic hire a producer to make a musical show at a fancy estate.  What follows are non-stop zany gags and jokes when the producer takes on extracurricular activities by falling in love with the estate's wealthy girl.  However he's encumbered by the girl's fiancé.  A wild love triangle ensues, complicated by Chic's sister because a penniless Russian aristocrat mistakes her for the wealthy girl.  Based on the hit Broadway play""--Container label.",0.70087045,.5-.7499
(OCoLC)ocm56389441,"Four of the ""best episodes"" of the Dick Van Dyke in this volume two of five volumes.",0.69998044,.5-.7499
(OCoLC)1039702039,"Learn some of the benefits of breastfeeding your newborn, how to properly hold him or her, and attach her to your breast.",0.6988189,.5-.7499
(CKB)2550000000085025,"Seventeen-year-old Lisabeth has anorexia, and even turning into Famine--one of the Four Horsemen of the Apocalypse--cannot keep her from feeling fat and worthless.",0.69855505,.5-.7499
(OCoLC)ocm39223612,"A professor goes to France for an American museum to search for a lost drawing by Picasso of Gertrude Stein's nephew, Allan. In the process he has a homosexual affair with the teenage son of his hosts. By the author of The Sex Offender.",0.69801456,.5-.7499
(OCoLC)1021071410,"The penis. Does size really matter? Is the male organ simply a tool for sex, or is it a phallic symbol worthy of deification? To what extent is men's preoccupation with their penises responsible for the aggressive, militaristic, and violent nature of our society? These are some of the questions that this ground-breaking, but non-titillating, film covers. Note: Not surprisingly, full frontal male nudity is shown in this program. Repeat: This film is not in any way titillating...though it's often amusing!",0.6974005,.5-.7499
(OCoLC)ocn317504881,The ultimate degenerate: A wheelchair-bound psycho drugs women and choreographs strange sex shows for them to perform.  The lusting hours: Pseudo-documentary about the world of prostitution and pornography.  In hot blood: A poor factory worker enters the degenerate world of modeling with lustful photographers and psychotic fellow models.,0.6964558,.5-.7499
(OCoLC)ocm00964354,Repressed widow visits sister in New Orleans after family estate dwindles to nothing. She is raped and eventually driven mad by her brutal brother-in-law.,0.6964128,.5-.7499
(OCoLC)ocm06042900,"While she is visiting her father and stepmother in California, 15-year-old Alison learns her mother is a lesbian.",0.6961661,.5-.7499
(OCoLC)ocm47723992,"Western about a mostly black posse who do battle with a pompous, racist colonel, and a vicious white sheriff who wants to take over a peaceful black frontier settlement.",0.6960402,.5-.7499
(SMPINC)0015091,"When a gay artist is assaulted and hospitalized, his cranky OCD neighbor must care for his dog, triggering a change in his selfish attitude..",0.69599456,.5-.7499
(OCoLC)985499711,"Simon's journey takes him from the coast of Gujarat in the east of India to Kolkata in the west. Along the way he spots the shy and beautiful Indian wild ass, learns of the violence between Hindus and Muslims in Gandhi's home city of Ahmedabad and visits the site of the world's worst industrial accident in Bhopal.",0.6946148,.5-.7499
(OCoLC)ocn821066934,"""The continued adventures of Madison, the heroine of DAMNED, who escapes Hell and comes back to Earth""--",0.693518,.5-.7499
(CKB)4100000000880810,"Make no mistake—Millennials matter. They are no longer those darn kids, mere children of the rainmakers and game changers. With Baby Boomers entering retirement, they aren’t even kids at all. Their ability to pursue their dreams will drive our economy, and their inability to do so could destroy it. In other words, if Millennials have a problem, then everyone has a problem. The Millennial Money Fix first examines the complex challenges facing this generation, targeting their lack of financial education in school and at home, the rising cost of education and resultant student loan debt, and the career-crushing labor environment. With candor and humor, it guides you through a lifetime of important concepts, including: Identifying honest and realistic goals. Selecting and paying for a college or graduate program. Mastering cash flow to jumpstart your life. Navigating the job landscape to do what you love. Planning for marriage, babies, and all that gushy stuff. Redefining retirement as your ability to do what you want. The Millennial Money Fix is about learning the reasons for your financial problems and the mechanics of your solutions, for yourself and those to come.",0.6933197,.5-.7499
(OCoLC)ocm40615975,"Pasolini's rendition of 8 of Boccaccio's tales. Includes the seducing nuns, the 3 jealous brothers who murder their sister's lover, the wizard who could change his wife into a burro and the story of a false saint.",0.6921308,.5-.7499
(VaAlASP)3174610,Flyer from the Theatre Rhinoceros presenting Gays at Play.,0.6917742,.5-.7499
(CKB)2560000000059911,"""""I have the worst birth defect a woman can have: I was born with a penis and a pair of testicles.""""Thus we meet Hera, who shares her reason for starting psychoanalysis and whose statement embodies the debate over transgenderism, rigorously dissected in Please Select Your Gender. Is it a mental disorder, as some would claim, or a matter of sexual identity? An orientation or a life choice? Despite differing opinions, transgenderism has lost much of its stigma over the past decade or so - though perhaps none of its shock value. Nevertheless, the door is open for a refor",0.69153833,.5-.7499
(VaAlASP)3152973,Notes by Morris Kight on how to reform the Gay Caucus of the CDC.,0.690618,.5-.7499
(OCoLC)ocm51845612,"A blind white woman falls in love with a black man, much to the consternation of her racist mother.",0.6905735,.5-.7499
(OCoLC)1104215277,"The saying ""play stupid games, win stupid prizes"" applies well to alcohol. While alcohol may be consumed safely, responsibly, and enjoyably, its natural effects can quickly lead to impaired judgment, poor decisions, and unforeseen consequences ranging from the embarrassing to the deadly. The body can process alcohol in moderation, but when one overindulges, alcohol slows down the brain and nervous system, reducing coordination, perception, and inhibition. It can also damage brain cells and neurons as well as other organs such as the kidneys and liver and is especially harmful to developing bodies. Knowing when you've crossed the line between moderation and too much can be difficult. With potentially awful consequences connected to alcohol abuse, including alcohol poisoning, car accidents, and participating in unprotected sex, it's crucial for teens to know how alcohol stresses the brain, what signs of inebriation to watch for in themselves and their peers, and how to turn down a drink despite peer pressure.",0.69056237,.5-.7499
(CKB)3710000000238217,"""People are stupid, Davis Wolfgang Hawke thought as he stared at the nearly empty box of Swastika pendants on his desk."" So begins Spam Kings , an investigative look into the shady world of email spammers and the people trying to stop them. This compelling exposé explores the shadowy world of the people responsible for today’s junk-email epidemic. Investigative journalist Brian McWilliams delivers a fascinating account of the cat-and-mouse game played by spam entrepreneurs in search of easy fortunes and anti-spam activists. McWilliams chronicles the activities of several spam kings, including Hawke, a notorious Jewish-born neo-Nazi leader. You’ll follow this 20-year-old’s rise in the trade, where he became a major player in the lucrative penis pill market—a business that would make him a millionaire and the target of lawsuits. You’ll also meet cyber-vigilantes, such as Susan Gunn, who have taken up the fight against spammers like Hawke. Explore the sleazy spammer business practices, the surprising new partnership between spammers and computer hackers, and the rise of a new breed of computer viruses designed to turn the PCs of innocent bystanders into secret spam factories.",0.6895605,.5-.7499
(CKB)3710000000098976," ""Funny how a gay man's hand resting heavily on your shoulder used to say let's fuck but now means let's not. Funny how ostensible nearness really betrays distance sometimes."" -from The Nearness of OthersIn this radical, genre-bending narrative, David Caron tells the story of his 2006 HIV diagnosis and its aftermath. On one level, The Nearness of Others is a personal account of his struggle as a gay, HIV-positive man with the constant issue of if, how, and when to disclose his status. But searching for various forms of contact eventually leads to a prof",0.68925923,.5-.7499
(OCoLC)ocm77490346,"Louis Mazzini wants to avenge his mother's disinheritance by ascending to her family's dukedom. To do this, he must kill eight of his relatives in the d'Ascoyne family.",0.689231,.5-.7499
(CKB)3710000000590154,"Sam Dick discusses Dignity in Dying and the different ways that companies campaign to change laws. Dignity in Dying is a UK organization trying to make it legal for terminally ill patients to request assisted death. Dick discusses the process of presenting a bill, increasing public awareness, and using the press and media to help campaigns.",0.6889596,.5-.7499
(OCoLC)ocm45657308,"Pursued and captured by the Nazis because he is gay, Max is placed in a concentration camp where he meets another gay prisoner and learns a life-altering lesson about human love.",0.6879403,.5-.7499
(VaAlASP)3261804,"Black and white engraving image of the laying of the foundation-stone of the Victoria Institution for the Deaf and Dumb in Melbourne, Australia.",0.68716836,.5-.7499
(VaAlASP)3152819,Memo to the Gay Caucus of the California Democratic Council recommending a response to an ex-gay ministry group.,0.6870649,.5-.7499
(OCoLC)ocm67617748,"Florence Carala and her lover Julien Tavernier, an ex-paratrooper, want to murder her husband by faking a suicide.",0.6862474,.5-.7499
(OCoLC)827237366,"Based on a 1967 hit song. A seventeen-year-old boy is seduced into a homosexual act. His guilt over the incident drives him to commit suicide by jumping off the Tallahatchie Bridge, leaving his girlfriend behind.",0.6860773,.5-.7499
(VaAlASP)3153043,Letter from Morris Kight to Dick Ningson concerning the center and the free clinic movement.,0.68592507,.5-.7499
(UkLoDT)dtnid27499,"Steven Berkoff and Joan Collins star in this 1994 film about two couples indulging in sexual relations: Steve, a wealthy husband who's having an affair with posh socialite Helen, and Sybil, Steve's wife, who is sleeping with a private eye hired to kill ",0.68541294,.5-.7499
(OCoLC)ocm56813218,"In the realm of the six dimension is a kingdom ruled by the midget King Fausto. It is inhabited by dancing frogs, maidens in bikinis, robot-like boxers, and other degraded beings-- all subject to royal sexual abuse.",0.68401366,.5-.7499
(OCoLC)ocm63168109,"Louis Mazzini seeks to avenge his mother's disinheritance by ascending to her family's dukedom. To do this, he must kill eight of his relatives in the d'Ascoyne family.",0.68290395,.5-.7499
(FOD)1000238922,"Killing zombies online is fun, right? But imagine you could only shoot one bullet at a time. You'd be TOAST! This is the story of the American, five-shot Colt Paterson: a handgun that changed history.",0.6823294,.5-.7499
(VaAlASP)3920446,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921522,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921524,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920432,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920444,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920442,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920440,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920438,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920436,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920434,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920430,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3920428,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921528,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921526,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921544,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921530,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921554,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921580,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921578,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921576,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921574,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921572,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921570,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921568,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921566,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921564,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921560,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921558,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921556,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921562,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921552,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921542,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921532,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921534,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921536,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921538,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921540,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921546,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921550,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(VaAlASP)3921548,"Various papers. Mimeographed. Presented from the estate of the late William Buller Fagg, CMG",0.6821309,.5-.7499
(CKB)3790000000023831, Lettres de Diderot à mademoiselle Marie-Madeleine Jodin. ,0.6806656,.5-.7499
(VaAlASP)3221553,A one page typed letter written by Morris Kight announcing the newsletter of the Asian Pacific Lesbian Gays.,0.6802169,.5-.7499
(OCoLC)ocm49910559,"""A series of sex murders shock a college campus and four beautiful young girlfriends head for the safety of a country villa.  But ... their weekend of pleasure becomes a vacation to dismember at the hand and blade of the lecherous maniac."" -- Container.",0.67932516,.5-.7499
(OCoLC)891103531,"Sexed semen allows farmers to determine the sex of their calves, and has the potential to revolutionize the dairy and beef industry; dairy farmers using sexed semen will be able to increase the number of heifer calves born. This program features Irish researchers working with the U.S.-based company Sexing Technologies to establish the viability of using sexed semen in Ireland, and speaks to a farmer about the importance of this type of ongoing research.",0.6783283,.5-.7499
(OCoLC)ocn471518462,A small-town lawyer is hired to defend an African American man who is accused of killing the white men who raped his young daughter.,0.6767793,.5-.7499
(OCoLC)ocm71827152,Drama based on the court-martial of Colonel Margarethe Cammermeyer who was discharged from the military for being a homosexual.,0.6762941,.5-.7499
(CKB)2550000000050046,"High school and the difficult terrain of sexuality and gender identity are brilliantly explored in this smart, incisive ethnography. Based on eighteen months of fieldwork in a racially diverse working-class high school, Dude, You're a Fag sheds new light on masculinity both as a field of meaning and as a set of social practices. C. J. Pascoe's unorthodox approach analyzes masculinity as not only a gendered process but also a sexual one. She demonstrates how the ""specter of the fag"" becomes a disciplinary mechanism for regulating heterosexual as well as homosexual boys and how the ""fag discourse"" is as much tied to gender as it is to sexuality.",0.67417604,.5-.7499
(OCoLC)ocm00624183,"Hoping to expunge neighborhood prejudice and to do something everyone else has failed to do, a twelve year-old desperately tries to teach her retarded twin.",0.6736407,.5-.7499
(OCoLC)1111578518,"Moses and Kitch stand around on the corner--talking shit, passing the time, and hoping that maybe today will be different. As they dream of their promised land, a stranger wanders into their space with his own agenda and derails their plans. Emotional and lyrical, Pass Over crafts everyday profanities into poetic and humorous riffs, exposing the unquestionable human spirit of young men stuck in a cycle that they are desperately trying to escape. (from publisher's website)",0.67248833,.5-.7499
(OCoLC)1241106532,"""A young man in 1981 South Africa must complete his brutal and racist two years of compulsory military service while desperately maintaining the secrecy of his homosexuality.""--",0.6721907,.5-.7499
(OCoLC)920730481,"""... The book demolishes a number of historiographic myths and stereotypes surrounding intellectual disability in the Middle Ages and suggests new insights with regard to 'fools', jesters and 'idiots'.",0.67158866,.5-.7499
(OCoLC)ocm68756058,"A drunk leaves behind his life and goes to Las Vegas to drink himself to death, and meets a prostitute who tries to save him.",0.67080605,.5-.7499
